Word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,date,frameRate,expName,session,participant,
Password_3,0,0,0,2,2016_May_03_2109,59.8874015692,TestEXP,001,S00,
Password_1,0,1,1,0,2016_May_03_2109,59.8874015692,TestEXP,001,S00,
Password_2,0,2,2,1,2016_May_03_2109,59.8874015692,TestEXP,001,S00,
Password_4,0,3,3,3,2016_May_03_2109,59.8874015692,TestEXP,001,S00,
Password_2,1,0,4,1,2016_May_03_2109,59.8874015692,TestEXP,001,S00,
Password_4,1,1,5,3,2016_May_03_2109,59.8874015692,TestEXP,001,S00,
Password_3,1,2,6,2,2016_May_03_2109,59.8874015692,TestEXP,001,S00,
Password_1,1,3,7,0,2016_May_03_2109,59.8874015692,TestEXP,001,S00,
Password_4,2,0,8,3,2016_May_03_2109,59.8874015692,TestEXP,001,S00,
Password_3,2,1,9,2,2016_May_03_2109,59.8874015692,TestEXP,001,S00,
Password_2,2,2,10,1,2016_May_03_2109,59.8874015692,TestEXP,001,S00,
