6.0659 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0x7f64545d75a8>, name='window1', pos=[0, 0], screen=0, size=array([1366,  768]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
6.0660 	EXP 	window1: recordFrameIntervals = False
6.2354 	EXP 	window1: recordFrameIntervals = True
6.2990 	WARNING 	t of last frame was 32.74ms (=1/30)
6.4794 	WARNING 	t of last frame was 148.35ms (=1/6)
6.7827 	EXP 	window1: recordFrameIntervals = False
8.3453 	EXP 	Created Fixation_Cross = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='Fixation_Cross', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
8.3493 	EXP 	Imported Conditions.csv as conditions, 4 conditions, 1 params
8.3502 	EXP 	Created sequence: random, trialTypes=4, nReps=5, seed=None
8.3510 	EXP 	New trial (rep=0, index=0): {'Word': u'Password_4'}
8.3566 	EXP 	window1: recordFrameIntervals = False
8.3662 	EXP 	Fixation_Cross: text = u'+'
8.3662 	EXP 	Fixation_Cross: autoDraw = True
8.3667 	EXP 	window1: recordFrameIntervals = False
8.8649 	EXP 	New trial (rep=0, index=1): {'Word': u'Password_2'}
8.8710 	EXP 	window1: recordFrameIntervals = False
8.8783 	EXP 	Fixation_Cross: autoDraw = False
8.8783 	EXP 	Fixation_Cross: text = u'+'
8.8783 	EXP 	Fixation_Cross: autoDraw = True
8.8785 	EXP 	window1: recordFrameIntervals = False
9.3793 	EXP 	New trial (rep=0, index=2): {'Word': u'Password_3'}
9.3837 	EXP 	window1: recordFrameIntervals = False
9.3948 	EXP 	Fixation_Cross: autoDraw = False
9.3948 	EXP 	Fixation_Cross: text = u'+'
9.3948 	EXP 	Fixation_Cross: autoDraw = True
9.3950 	EXP 	window1: recordFrameIntervals = False
9.8924 	EXP 	New trial (rep=0, index=3): {'Word': u'Password_1'}
9.8968 	EXP 	window1: recordFrameIntervals = False
9.9032 	EXP 	Fixation_Cross: autoDraw = False
9.9032 	EXP 	Fixation_Cross: text = u'+'
9.9032 	EXP 	Fixation_Cross: autoDraw = True
9.9034 	EXP 	window1: recordFrameIntervals = False
10.4041 	EXP 	New trial (rep=1, index=0): {'Word': u'Password_3'}
10.4087 	EXP 	window1: recordFrameIntervals = False
10.4165 	EXP 	Fixation_Cross: autoDraw = False
10.4165 	EXP 	Fixation_Cross: text = u'+'
10.4165 	EXP 	Fixation_Cross: autoDraw = True
10.4167 	EXP 	window1: recordFrameIntervals = False
