Word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,date,frameRate,expName,session,participant,
Password_3,0,0,0,2,2016_May_03_2118,59.6816073309,TestEXP,001,S00,
Password_2,0,1,1,1,2016_May_03_2118,59.6816073309,TestEXP,001,S00,
Password_4,0,2,2,3,2016_May_03_2118,59.6816073309,TestEXP,001,S00,
Password_1,0,3,3,0,2016_May_03_2118,59.6816073309,TestEXP,001,S00,
Password_3,1,0,4,2,2016_May_03_2118,59.6816073309,TestEXP,001,S00,
Password_4,1,1,5,3,2016_May_03_2118,59.6816073309,TestEXP,001,S00,
Password_1,1,2,6,0,2016_May_03_2118,59.6816073309,TestEXP,001,S00,
Password_2,1,3,7,1,2016_May_03_2118,59.6816073309,TestEXP,001,S00,
Password_4,2,0,8,3,2016_May_03_2118,59.6816073309,TestEXP,001,S00,
Password_1,2,1,9,0,2016_May_03_2118,59.6816073309,TestEXP,001,S00,
Password_3,2,2,10,2,2016_May_03_2118,59.6816073309,TestEXP,001,S00,
Password_2,2,3,11,1,2016_May_03_2118,59.6816073309,TestEXP,001,S00,
Password_3,3,0,12,2,2016_May_03_2118,59.6816073309,TestEXP,001,S00,
Password_2,3,1,13,1,2016_May_03_2118,59.6816073309,TestEXP,001,S00,
Password_4,3,2,14,3,2016_May_03_2118,59.6816073309,TestEXP,001,S00,
Password_1,3,3,15,0,2016_May_03_2118,59.6816073309,TestEXP,001,S00,
Password_4,4,0,16,3,2016_May_03_2118,59.6816073309,TestEXP,001,S00,
Password_1,4,1,17,0,2016_May_03_2118,59.6816073309,TestEXP,001,S00,
Password_2,4,2,18,1,2016_May_03_2118,59.6816073309,TestEXP,001,S00,
Password_3,4,3,19,2,2016_May_03_2118,59.6816073309,TestEXP,001,S00,
