Word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,date,frameRate,expName,session,participant,
Password_4,0,0,0,3,2016_May_03_2116,60.7164426276,TestEXP,001,S00,
Password_2,0,1,1,1,2016_May_03_2116,60.7164426276,TestEXP,001,S00,
Password_3,0,2,2,2,2016_May_03_2116,60.7164426276,TestEXP,001,S00,
Password_1,0,3,3,0,2016_May_03_2116,60.7164426276,TestEXP,001,S00,
Password_3,1,0,4,2,2016_May_03_2116,60.7164426276,TestEXP,001,S00,
Password_2,1,1,5,1,2016_May_03_2116,60.7164426276,TestEXP,001,S00,
Password_4,1,2,6,3,2016_May_03_2116,60.7164426276,TestEXP,001,S00,
Password_1,1,3,7,0,2016_May_03_2116,60.7164426276,TestEXP,001,S00,
Password_2,2,0,8,1,2016_May_03_2116,60.7164426276,TestEXP,001,S00,
Password_3,2,1,9,2,2016_May_03_2116,60.7164426276,TestEXP,001,S00,
Password_4,2,2,10,3,2016_May_03_2116,60.7164426276,TestEXP,001,S00,
Password_1,2,3,11,0,2016_May_03_2116,60.7164426276,TestEXP,001,S00,
Password_2,3,0,12,1,2016_May_03_2116,60.7164426276,TestEXP,001,S00,
Password_4,3,1,13,3,2016_May_03_2116,60.7164426276,TestEXP,001,S00,
Password_1,3,2,14,0,2016_May_03_2116,60.7164426276,TestEXP,001,S00,
Password_3,3,3,15,2,2016_May_03_2116,60.7164426276,TestEXP,001,S00,
Password_2,4,0,16,1,2016_May_03_2116,60.7164426276,TestEXP,001,S00,
Password_1,4,1,17,0,2016_May_03_2116,60.7164426276,TestEXP,001,S00,
Password_4,4,2,18,3,2016_May_03_2116,60.7164426276,TestEXP,001,S00,
Password_3,4,3,19,2,2016_May_03_2116,60.7164426276,TestEXP,001,S00,
