10.8307 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0x7fdd202085a8>, name='window1', pos=[0, 0], screen=0, size=array([1366,  768]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
10.8308 	EXP 	window1: recordFrameIntervals = False
10.9961 	EXP 	window1: recordFrameIntervals = True
11.1673 	WARNING 	t of last frame was 20.36ms (=1/49)
11.3079 	WARNING 	t of last frame was 26.05ms (=1/38)
11.4969 	EXP 	window1: recordFrameIntervals = False
11.6354 	EXP 	Created Stim = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='Stim', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
11.6483 	EXP 	Created Fixation_Cross = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.5, italic=False, name='Fixation_Cross', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
11.6521 	EXP 	Imported Conditions.csv as conditions, 4 conditions, 1 params
11.6530 	EXP 	Created sequence: random, trialTypes=4, nReps=5, seed=None
11.6538 	EXP 	New trial (rep=0, index=0): {'Word': u'Password_3'}
11.6642 	EXP 	window1: recordFrameIntervals = False
11.6716 	EXP 	Stim: text = u'Password_3'
11.6716 	EXP 	Stim: autoDraw = True
11.6718 	EXP 	window1: recordFrameIntervals = False
12.1835 	EXP 	Stim: autoDraw = False
12.1835 	EXP 	Fixation_Cross: autoDraw = True
13.1572 	EXP 	New trial (rep=0, index=1): {'Word': u'Password_2'}
13.1661 	EXP 	window1: recordFrameIntervals = False
13.1743 	EXP 	Fixation_Cross: autoDraw = False
13.1743 	EXP 	Stim: text = u'Password_2'
13.1743 	EXP 	Stim: autoDraw = True
13.1744 	EXP 	window1: recordFrameIntervals = False
13.6795 	EXP 	Stim: autoDraw = False
13.6795 	EXP 	Fixation_Cross: autoDraw = True
