7.1159 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0x7fc04d0cc5a8>, name='window1', pos=[0, 0], screen=0, size=array([1366,  768]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.1159 	EXP 	window1: recordFrameIntervals = False
7.2816 	EXP 	window1: recordFrameIntervals = True
7.4679 	EXP 	window1: recordFrameIntervals = False
7.6070 	EXP 	Created Stim = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.5, italic=False, name='Stim', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
7.6140 	EXP 	Created Fixation_Cross = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.5, italic=False, name='Fixation_Cross', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
7.6171 	EXP 	Imported Conditions.csv as conditions, 4 conditions, 1 params
7.6180 	EXP 	Created sequence: random, trialTypes=4, nReps=5, seed=None
7.6190 	EXP 	New trial (rep=0, index=0): {'Word': u'Password_1'}
7.6386 	EXP 	window1: recordFrameIntervals = False
7.6440 	EXP 	Stim: text = u'Password_1'
7.6443 	EXP 	window1: recordFrameIntervals = False
8.1549 	EXP 	Stim: autoDraw = True
8.7377 	EXP 	Stim: autoDraw = False
8.7377 	EXP 	Fixation_Cross: autoDraw = True
9.7100 	EXP 	New trial (rep=0, index=1): {'Word': u'Password_3'}
9.7237 	EXP 	window1: recordFrameIntervals = False
9.7291 	EXP 	Fixation_Cross: autoDraw = False
9.7291 	EXP 	Fixation_Cross: autoDraw = False
9.7291 	EXP 	Stim: text = u'Password_3'
9.7293 	EXP 	window1: recordFrameIntervals = False
10.2455 	EXP 	Stim: autoDraw = True
10.8173 	EXP 	Stim: autoDraw = False
10.8173 	EXP 	Stim: autoDraw = False
10.8173 	EXP 	Fixation_Cross: autoDraw = True
11.7895 	EXP 	New trial (rep=0, index=2): {'Word': u'Password_4'}
11.8106 	EXP 	window1: recordFrameIntervals = False
11.8168 	EXP 	Fixation_Cross: autoDraw = False
11.8168 	EXP 	Fixation_Cross: autoDraw = False
11.8168 	EXP 	Stim: text = u'Password_4'
11.8169 	EXP 	window1: recordFrameIntervals = False
12.3243 	EXP 	Stim: autoDraw = True
12.9093 	EXP 	Stim: autoDraw = False
12.9093 	EXP 	Stim: autoDraw = False
12.9093 	EXP 	Fixation_Cross: autoDraw = True
13.8841 	EXP 	New trial (rep=0, index=3): {'Word': u'Password_2'}
13.9038 	EXP 	window1: recordFrameIntervals = False
13.9101 	EXP 	Fixation_Cross: autoDraw = False
13.9101 	EXP 	Fixation_Cross: autoDraw = False
13.9101 	EXP 	Stim: text = u'Password_2'
13.9103 	EXP 	window1: recordFrameIntervals = False
14.4172 	EXP 	Stim: autoDraw = True
15.0035 	EXP 	Stim: autoDraw = False
15.0035 	EXP 	Stim: autoDraw = False
15.0035 	EXP 	Fixation_Cross: autoDraw = True
15.9765 	EXP 	New trial (rep=1, index=0): {'Word': u'Password_1'}
15.9923 	EXP 	window1: recordFrameIntervals = False
15.9992 	EXP 	Fixation_Cross: autoDraw = False
15.9992 	EXP 	Fixation_Cross: autoDraw = False
15.9992 	EXP 	Stim: text = u'Password_1'
15.9994 	EXP 	window1: recordFrameIntervals = False
16.5125 	EXP 	Stim: autoDraw = True
17.0810 	EXP 	Stim: autoDraw = False
17.0810 	EXP 	Stim: autoDraw = False
17.0810 	EXP 	Fixation_Cross: autoDraw = True
18.0541 	EXP 	New trial (rep=1, index=1): {'Word': u'Password_2'}
18.0722 	EXP 	window1: recordFrameIntervals = False
18.0788 	EXP 	Fixation_Cross: autoDraw = False
18.0788 	EXP 	Fixation_Cross: autoDraw = False
18.0788 	EXP 	Stim: text = u'Password_2'
18.0789 	EXP 	window1: recordFrameIntervals = False
18.5890 	EXP 	Stim: autoDraw = True
19.1588 	EXP 	Stim: autoDraw = False
19.1588 	EXP 	Stim: autoDraw = False
19.1588 	EXP 	Fixation_Cross: autoDraw = True
20.1328 	EXP 	New trial (rep=1, index=2): {'Word': u'Password_4'}
20.1491 	EXP 	window1: recordFrameIntervals = False
20.1552 	EXP 	Fixation_Cross: autoDraw = False
20.1552 	EXP 	Fixation_Cross: autoDraw = False
20.1552 	EXP 	Stim: text = u'Password_4'
20.1553 	EXP 	window1: recordFrameIntervals = False
20.6667 	EXP 	Stim: autoDraw = True
21.2529 	EXP 	Stim: autoDraw = False
21.2529 	EXP 	Stim: autoDraw = False
21.2529 	EXP 	Fixation_Cross: autoDraw = True
22.2256 	EXP 	New trial (rep=1, index=3): {'Word': u'Password_3'}
22.2403 	EXP 	window1: recordFrameIntervals = False
22.2457 	EXP 	Fixation_Cross: autoDraw = False
22.2457 	EXP 	Fixation_Cross: autoDraw = False
22.2457 	EXP 	Stim: text = u'Password_3'
22.2459 	EXP 	window1: recordFrameIntervals = False
22.7614 	EXP 	Stim: autoDraw = True
23.3304 	EXP 	Stim: autoDraw = False
23.3304 	EXP 	Stim: autoDraw = False
23.3304 	EXP 	Fixation_Cross: autoDraw = True
24.3033 	EXP 	New trial (rep=2, index=0): {'Word': u'Password_4'}
24.3176 	EXP 	window1: recordFrameIntervals = False
24.3237 	EXP 	Fixation_Cross: autoDraw = False
24.3237 	EXP 	Fixation_Cross: autoDraw = False
24.3237 	EXP 	Stim: text = u'Password_4'
24.3239 	EXP 	window1: recordFrameIntervals = False
24.8385 	EXP 	Stim: autoDraw = True
25.4083 	EXP 	Stim: autoDraw = False
25.4083 	EXP 	Stim: autoDraw = False
25.4083 	EXP 	Fixation_Cross: autoDraw = True
26.3810 	EXP 	New trial (rep=2, index=1): {'Word': u'Password_3'}
26.3929 	EXP 	window1: recordFrameIntervals = False
26.3993 	EXP 	Fixation_Cross: autoDraw = False
26.3993 	EXP 	Fixation_Cross: autoDraw = False
26.3993 	EXP 	Stim: text = u'Password_3'
26.3994 	EXP 	window1: recordFrameIntervals = False
26.9162 	EXP 	Stim: autoDraw = True
27.4857 	EXP 	Stim: autoDraw = False
27.4857 	EXP 	Stim: autoDraw = False
27.4857 	EXP 	Fixation_Cross: autoDraw = True
27.8386 	DATA 	Keypress: escape
