6.0780 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0x7face998c5a8>, name='window1', pos=[0, 0], screen=0, size=array([1366,  768]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
6.0780 	EXP 	window1: recordFrameIntervals = False
6.2432 	EXP 	window1: recordFrameIntervals = True
6.4293 	EXP 	window1: recordFrameIntervals = False
6.5836 	EXP 	Created Instructions = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.5, italic=False, name='Instructions', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'Please \nEnter Password', units=u'norm', win=Window(...), wrapWidth=1)
6.6028 	EXP 	Created Stim = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.5, italic=False, name='Stim', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
6.6086 	EXP 	Created Fixation_Cross = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.5, italic=False, name='Fixation_Cross', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
6.6166 	EXP 	Instructions: autoDraw = True
7.7020 	DATA 	Keypress: a
7.7311 	EXP 	Imported Conditions.csv as conditions, 4 conditions, 1 params
7.7324 	EXP 	Created sequence: random, trialTypes=4, nReps=5, seed=None
7.7337 	EXP 	New trial (rep=0, index=0): {'Word': u'Word_3'}
7.7552 	EXP 	window1: recordFrameIntervals = False
7.7604 	EXP 	Instructions: autoDraw = False
7.7604 	EXP 	Stim: text = u'Word_3'
7.7606 	EXP 	window1: recordFrameIntervals = False
8.0565 	DATA 	Keypress: b
8.2682 	EXP 	Stim: autoDraw = True
8.8207 	EXP 	Stim: autoDraw = False
8.8207 	EXP 	Fixation_Cross: autoDraw = True
9.7958 	EXP 	New trial (rep=0, index=1): {'Word': u'Word_2'}
9.8135 	EXP 	window1: recordFrameIntervals = False
9.8188 	EXP 	Fixation_Cross: autoDraw = False
9.8188 	EXP 	Fixation_Cross: autoDraw = False
9.8188 	EXP 	Stim: text = u'Word_2'
9.8189 	EXP 	window1: recordFrameIntervals = False
10.3291 	EXP 	Stim: autoDraw = True
10.9164 	EXP 	Stim: autoDraw = False
10.9164 	EXP 	Stim: autoDraw = False
10.9164 	EXP 	Fixation_Cross: autoDraw = True
11.8912 	EXP 	New trial (rep=0, index=2): {'Word': u'Word_4'}
11.9036 	EXP 	window1: recordFrameIntervals = False
11.9088 	EXP 	Fixation_Cross: autoDraw = False
11.9088 	EXP 	Fixation_Cross: autoDraw = False
11.9088 	EXP 	Stim: text = u'Word_4'
11.9089 	EXP 	window1: recordFrameIntervals = False
12.4234 	EXP 	Stim: autoDraw = True
13.0097 	EXP 	Stim: autoDraw = False
13.0097 	EXP 	Stim: autoDraw = False
13.0097 	EXP 	Fixation_Cross: autoDraw = True
13.9839 	EXP 	New trial (rep=0, index=3): {'Word': u'Word_1'}
13.9974 	EXP 	window1: recordFrameIntervals = False
14.0039 	EXP 	Fixation_Cross: autoDraw = False
14.0039 	EXP 	Fixation_Cross: autoDraw = False
14.0039 	EXP 	Stim: text = u'Word_1'
14.0041 	EXP 	window1: recordFrameIntervals = False
14.5176 	EXP 	Stim: autoDraw = True
15.1040 	EXP 	Stim: autoDraw = False
15.1040 	EXP 	Stim: autoDraw = False
15.1040 	EXP 	Fixation_Cross: autoDraw = True
16.0773 	EXP 	New trial (rep=1, index=0): {'Word': u'Word_1'}
16.0945 	EXP 	window1: recordFrameIntervals = False
16.1003 	EXP 	Fixation_Cross: autoDraw = False
16.1003 	EXP 	Fixation_Cross: autoDraw = False
16.1003 	EXP 	Stim: text = u'Word_1'
16.1004 	EXP 	window1: recordFrameIntervals = False
16.6120 	EXP 	Stim: autoDraw = True
16.9639 	DATA 	Keypress: escape
